R0,amplitude,gamma,mu,sigma,rho,psi,iota,S_0,E_0,R_0,I_0,spanLogLik,LogLik
41.77095402,0.515841124,73.05,0.257858743,45.66,0.70503035,0.348551508,3.373889861,4.95E-05,1.56E-06,0.999130011,0.000818914,34.77615058,-3858.758371
36.63019182,0.496587613,73.05,0.145056759,45.66,0.55278862,0.382214591,3.628263759,0.007205196,0.003070881,0.989275011,0.000448913,48.04513775,-3858.964304
42.8752196,0.481841994,73.05,0.260230202,45.66,0.65751193,0.376321725,2.67E-05,0.652642027,0.116683992,0.006847426,0.223826556,51.85441408,-3859.16206
37.56431511,0.493411618,73.05,0.185664149,45.66,0.59995881,0.42410649,5.393484846,0.955029759,0.000260542,0.04467201,3.77E-05,18.8772678,-3859.203175
35.05500481,0.518509522,73.05,0.111365404,45.66,0.519200812,0.420880979,3.664526258,0.348573882,6.70E-05,0.65135911,5.71E-08,12.00837649,-3859.282134
49.19422652,0.486084924,73.05,0.386587696,45.66,0.786165765,0.410197909,0.000180368,0.239840544,0.674864403,0.076066726,0.009228327,23.3333017,-3859.409758
44.14793442,0.518603908,73.05,0.286038649,45.66,0.693480293,0.383311082,2.38947422,0.815546163,0.001616546,0.182793684,4.36E-05,15.90151675,-3859.445452
38.69887678,0.534574079,73.05,0.183719629,45.66,0.623594943,0.372735163,3.459649124,0.990659971,0.000911251,0.008415975,1.28E-05,11.50317316,-3859.726265
33.94184485,0.504104192,73.05,0.087275751,45.66,0.524095681,0.376523756,4.369992384,2.11E-06,1.05E-05,0.999987413,2.19E-10,27.14377435,-3859.817404
39.04691213,0.4916477,73.05,0.206575133,45.66,0.618274568,0.36441037,3.8425822,1.59E-05,2.73E-06,0.862864322,0.137117033,50.69698348,-3859.886672
37.27826829,0.462529903,73.05,0.171044371,45.66,0.681266698,0.36298129,2.708823897,0.4917739,1.87E-06,0.508223935,2.97E-07,19.54610019,-3859.948557
31.45651253,0.523540766,73.05,0.030855224,45.66,0.468732718,0.385570587,4.47035061,0.027884222,6.41E-06,0.972109139,2.25E-07,34.33677485,-3859.978217
29.43651553,0.513937374,73.05,0.001817786,45.66,0.435031631,0.412066723,7.511231586,0.014073568,0.000729928,0.985195715,7.89E-07,24.69527922,-3860.077419
41.2637826,0.473993295,73.05,0.237373091,45.66,0.6214484,0.381566778,2.723528205,0.038876823,2.94E-05,0.961093776,1.24E-08,35.66398523,-3860.203098
30.84014883,0.495979118,73.05,0.037228341,45.66,0.459203537,0.398311785,5.678087466,0.010872237,1.87E-05,0.989109052,7.62E-11,34.52688218,-3860.285933
38.22919277,0.51464858,73.05,0.178619118,45.66,0.570509611,0.374215323,3.438396751,0.000324392,0.017726434,0.981949149,2.60E-08,59.80698639,-3860.4363
41.42337561,0.53247374,73.05,0.245951727,45.66,0.659032127,0.386157915,3.650910946,0.60935937,0.183646681,0.205912215,0.001081735,15.11748948,-3860.483115
44.08018178,0.543377813,73.05,0.290841218,45.66,0.735308729,0.368849343,2.941655815,0.00204132,2.02E-12,0.996223724,0.001734956,27.00385712,-3860.589261
31.0670908,0.526789533,73.05,0.033551322,45.66,0.475386264,0.395938656,5.650523056,0.419572842,1.17E-06,0.580424202,1.78E-06,29.12762055,-3860.793969
33.697308,0.512157596,73.05,0.095537176,45.66,0.510023956,0.408706474,6.939759703,0.000651491,0.000323552,0.997869557,0.0011554,26.45236936,-3860.835302
41.40682112,0.539880055,73.05,0.234246157,45.66,0.669913515,0.361906976,3.258157023,0.993191115,4.66E-06,0.006804146,8.36E-08,29.71755764,-3860.908661
35.25240019,0.495705533,73.05,0.118123081,45.66,0.536673896,0.395859517,4.015576276,0.000218015,0.001444729,0.291806381,0.706530875,27.8588929,-3861.226979
29.93185198,0.513132047,73.05,0.000819611,45.66,0.422633716,0.417181566,5.981598989,0.023174013,0.000147845,0.976677838,3.03E-07,34.63124438,-3861.565502
36.61912985,0.481412437,73.05,0.158696756,45.66,0.559968361,0.383814454,3.167203793,0.240817839,1.55E-12,0.75918216,3.57E-10,30.15296191,-3861.628407
