"R0","amplitude","gamma","mu","sigma","rho","psi","alpha","iota","sigmaSE","cohort","S_0","E_0","R_0","I_0","spanLogLik","LogLik"
27.8102743367039,0.349941270968728,44.2460698521406,0.0225740334477342,34.1887108301137,0.513651134193729,0.0567622860831946,0.989746094,4.821289063,0.073339844,0.963378906,0.064263306043647,1.29276119393363e-07,0.935733702544231,2.86213600227916e-06,2.44079868172275,-3274.906388504
32.7270493072902,0.377143714705979,37.9927449960418,0.0519590778142171,43.2275496746261,0.544018804049149,0.0512361780604024,0.98,4.5876,0.07,1,0.895602818913974,1.90627201839292e-07,0.104396799308992,1.9114983294821e-07,2.00770384570251,-3274.92337904916
25.0700152832897,0.307933882140848,51.2813053318263,0.0908749234099698,44.9490175471069,0.612807079200884,0.0477018712786931,0.997558594,4.149414063,0.059277344,0.986816406,0.0197083488402247,2.20658423415966e-06,0.980156491302875,0.000132953272665744,3.98265115681443,-3274.95249610569
28.7802889863371,0.301147479376889,50.6475130555655,0.0129512009823394,39.7356018037402,0.500799310932232,0.0362028646173369,0.974365234,4.835449219,0.066357422,0.927490234,0.0410380974539752,2.19319021735834e-08,0.958798977749656,0.000162902864467019,1.60326992944601,-3275.05370755545
27.7521670983658,0.334977555656418,38.1070658066817,0.0424060235029377,52.5157097521578,0.534065725921204,0.0558063481848736,0.974365234,4.835449219,0.066357422,0.927490234,0.11365030114414,2.40308080494772e-08,0.886349252788815,4.22036237618352e-07,7.99555977902673,-3275.17663403978
30.1126407639145,0.375113373546265,46.3627157789844,0.0212920110470547,37.718000202746,0.508807721420047,0.047364585329294,0.98,4.5876,0.07,1,0.0028121633575174,5.20786531980715e-06,0.997182238405503,3.90371660131565e-07,1.96753234291828,-3275.19488197767
30.2837747476564,0.311540218706959,46.8644593849651,0.000445494793607385,36.6686407519475,0.48241650992777,0.0641722997237169,0.98,4.5876,0.07,1,0.0575862300944616,3.02289308268261e-06,0.942405169216017,5.57779643899825e-06,2.20905004929773,-3275.32231028265
30.1419983542731,0.340574038212621,48.1602934395626,0.00105869781109995,39.4438131831421,0.484794540567329,0.0552819579320858,0.98,4.5876,0.07,1,0.0282585306736504,2.12044090833934e-05,0.971719870849111,3.9406815529512e-07,2.84336796116031,-3275.37370930925
32.5996911285171,0.369242749531933,43.1927742953562,0.115602609475983,36.0867558347527,0.626539158737806,0.0629573784072311,0.989746094,4.821289063,0.073339844,0.963378906,0.191973942941309,0.014108324515872,0.793917732500511,4.23075053976794e-11,1.19748334354699,-3275.50991516343
28.3412639302793,0.326357824359073,35.0519480783875,0.0269908321794206,51.7728842870661,0.520799596422954,0.0520171682421622,0.98,4.5876,0.07,1,0.00247039478111938,8.082575127546e-09,0.997529425852361,1.71283944120322e-07,2.51028950729778,-3275.53047093695
