R0,amplitude,gamma,mu,sigma,rho,psi,S_0,E_0,R_0,I_0,spanLogLik,LogLik
42.52723413,0.49466103,73.05,0.259797469,45.66,0.683498522,0.362686395,0.175783504,0.00063656,0.822825265,0.00075467,45.22349916,-3874.004108
49.47125064,0.490718941,73.05,0.391950035,45.66,0.790325105,0.373806676,0.103188576,0.008196113,0.888613463,1.85E-06,29.2300048,-3874.271592
43.35540191,0.457420558,73.05,0.277624984,45.66,0.681284617,0.377305107,0.035010694,2.12E-05,0.96496773,4.11E-07,39.93889635,-3875.111382
44.11457194,0.485663308,73.05,0.289329767,45.66,0.725284508,0.337793372,0.96958388,3.35E-05,0.030116637,0.00026594,37.60412006,-3875.662321
38.03789699,0.478458905,73.05,0.169490151,45.66,0.555344648,0.421709605,0.30418665,0.000273105,0.675571236,0.019969009,30.90734282,-3876.784329
49.1091868,0.506361785,73.05,0.368438107,45.66,0.714236097,0.405230338,0.987080649,0.005578256,0.00733549,5.61E-06,39.01690367,-3877.034558
38.03703732,0.462138526,73.05,0.167584944,45.66,0.581809276,0.406436303,0.071834355,0.023397726,0.9047342,3.37E-05,13.4235685,-3877.129731
37.6538284,0.486073971,73.05,0.153551434,45.66,0.566847789,0.375508803,0.054922484,0.943756667,9.67E-06,0.00131118,62.88174715,-3877.463751
42.56341557,0.496586519,73.05,0.247697401,45.66,0.648932969,0.368347758,0.026413086,0.000197797,0.971019546,0.002369571,44.07311746,-3877.812876
47.68596649,0.480539271,73.05,0.349527949,45.66,0.723221399,0.398092887,0.657132524,0.338619877,6.31E-06,0.004241289,26.85876763,-3878.795209
48.80850412,0.503349118,73.05,0.375531143,45.66,0.817973858,0.350238651,0.363576338,3.08E-13,0.629504331,0.006919331,37.28470552,-3879.215013
49.43319932,0.473116296,73.05,0.39778073,45.66,0.809380597,0.359208483,0.970716372,9.10E-05,0.029105984,8.66E-05,47.8790223,-3879.386499
46.81759786,0.46655685,73.05,0.349052181,45.66,0.77022006,0.362773897,0.518540892,0.278470147,0.191085183,0.011903779,22.271196,-3880.078864
45.31319656,0.463190879,73.05,0.310736522,45.66,0.682973841,0.391852489,0.088155025,0.041566742,0.870278188,4.57E-08,27.70603691,-3880.121863
37.27368128,0.489579381,73.05,0.155906085,45.66,0.617440128,0.36200857,0.311983566,0.00050415,0.687512264,1.98E-08,17.75779789,-3880.983869
54.46146453,0.513100456,73.05,0.490394944,45.66,0.940996769,0.372675208,0.708080773,0.000169118,0.291750079,3.01E-08,42.01680794,-3881.840751
42.0512176,0.475379871,73.05,0.242329332,45.66,0.645054762,0.373698948,0.012330934,1.48E-06,0.987667579,3.30E-09,23.25391766,-3881.955066
52.63567113,0.476116747,73.05,0.456408036,45.66,0.892687315,0.352145997,0.998547705,8.20E-06,0.001443751,3.47E-07,64.35563897,-3882.017896
48.37871013,0.486528417,73.05,0.346597437,45.66,0.702638257,0.399705156,0.036455821,0.691994743,0.266935875,0.00461356,21.77967122,-3882.212825
40.35562948,0.471036364,73.05,0.206670964,45.66,0.589985003,0.366761642,0.099409118,0.000318298,0.900252143,2.04E-05,52.97347378,-3883.923652
41.27030792,0.470760103,73.05,0.230905092,45.66,0.654820576,0.361252377,0.01343582,1.28E-05,0.98643136,0.000120001,31.94943953,-3884.002942
51.90448232,0.480224579,73.05,0.439396109,45.66,0.817225317,0.395471275,0.448898041,0.412876818,0.000269476,0.137955666,39.65019507,-3884.263358
55.54392577,0.518649163,73.05,0.48815439,45.66,0.9519673,0.361102352,0.90143046,0.000806893,0.097110691,0.000651956,39.32848941,-3884.391882
45.86023352,0.511009802,73.05,0.308574568,45.66,0.70941001,0.36079269,0.00012529,0.000132274,0.999741376,1.06E-06,33.66188879,-3884.824266
48.06267302,0.480066865,73.05,0.365353122,45.66,0.748648527,0.379234318,0.129736205,8.02E-12,0.118459931,0.751803863,41.42550933,-3884.922551
45.68346085,0.423016255,73.05,0.348755638,45.66,0.821758698,0.35906573,0.457535642,6.74E-12,0.508957701,0.033506657,30.48987792,-3885.066642
44.8351375,0.476035756,73.05,0.297403469,45.66,0.684221481,0.392537654,0.003057378,2.54E-05,0.996884299,3.29E-05,20.54208262,-3885.208571
